"","x1","x2","x3","x4","x5","x6","x7","y"
"216",8,318,150,3755,14,76,1,13
"217",4,98,68,2045,18.5,77,3,31.5
"218",4,111,80,2155,14.8,77,1,30
"219",4,79,58,1825,18.6,77,2,36
"220",4,122,96,2300,15.5,77,1,25.5
"221",4,85,70,1945,16.8,77,3,33.5
"222",8,305,145,3880,12.5,77,1,17.5
"223",8,260,110,4060,19,77,1,17
"224",8,318,145,4140,13.7,77,1,15.5
"225",8,302,130,4295,14.9,77,1,15
"226",6,250,110,3520,16.4,77,1,17.5
"227",6,231,105,3425,16.9,77,1,20.5
"228",6,225,100,3630,17.7,77,1,19
"229",6,250,98,3525,19,77,1,18.5
"230",8,400,180,4220,11.1,77,1,16
"231",8,350,170,4165,11.4,77,1,15.5
"232",8,400,190,4325,12.2,77,1,15.5
"233",8,351,149,4335,14.5,77,1,16
"234",4,97,78,1940,14.5,77,2,29
"235",4,151,88,2740,16,77,1,24.5
"236",4,97,75,2265,18.2,77,3,26
"237",4,140,89,2755,15.8,77,1,25.5
"238",4,98,63,2051,17,77,1,30.5
"239",4,98,83,2075,15.9,77,1,33.5
"240",4,97,67,1985,16.4,77,3,30
"241",4,97,78,2190,14.1,77,2,30.5
"242",6,146,97,2815,14.5,77,3,22
"243",4,121,110,2600,12.8,77,2,21.5
"244",3,80,110,2720,13.5,77,3,21.5
"245",4,90,48,1985,21.5,78,2,43.1
"246",4,98,66,1800,14.4,78,1,36.1
"247",4,78,52,1985,19.4,78,3,32.8
"248",4,85,70,2070,18.6,78,3,39.4
"249",4,91,60,1800,16.4,78,3,36.1
"250",8,260,110,3365,15.5,78,1,19.9
"251",8,318,140,3735,13.2,78,1,19.4
"252",8,302,139,3570,12.8,78,1,20.2
"253",6,231,105,3535,19.2,78,1,19.2
"254",6,200,95,3155,18.2,78,1,20.5
"255",6,200,85,2965,15.8,78,1,20.2
"256",4,140,88,2720,15.4,78,1,25.1
"257",6,225,100,3430,17.2,78,1,20.5
"258",6,232,90,3210,17.2,78,1,19.4
"259",6,231,105,3380,15.8,78,1,20.6
"260",6,200,85,3070,16.7,78,1,20.8
"261",6,225,110,3620,18.7,78,1,18.6
"262",6,258,120,3410,15.1,78,1,18.1
"263",8,305,145,3425,13.2,78,1,19.2
"264",6,231,165,3445,13.4,78,1,17.7
"265",8,302,139,3205,11.2,78,1,18.1
"266",8,318,140,4080,13.7,78,1,17.5
"267",4,98,68,2155,16.5,78,1,30
"268",4,134,95,2560,14.2,78,3,27.5
"269",4,119,97,2300,14.7,78,3,27.2
"270",4,105,75,2230,14.5,78,1,30.9
"271",4,134,95,2515,14.8,78,3,21.1
"272",4,156,105,2745,16.7,78,1,23.2
"273",4,151,85,2855,17.6,78,1,23.8
"274",4,119,97,2405,14.9,78,3,23.9
"275",5,131,103,2830,15.9,78,2,20.3
"276",6,163,125,3140,13.6,78,2,17
"277",4,121,115,2795,15.7,78,2,21.6
"278",6,163,133,3410,15.8,78,2,16.2
"279",4,89,71,1990,14.9,78,2,31.5
"280",4,98,68,2135,16.6,78,3,29.5
"281",6,231,115,3245,15.4,79,1,21.5
"282",6,200,85,2990,18.2,79,1,19.8
"283",4,140,88,2890,17.3,79,1,22.3
"284",6,232,90,3265,18.2,79,1,20.2
"285",6,225,110,3360,16.6,79,1,20.6
"286",8,305,130,3840,15.4,79,1,17
"287",8,302,129,3725,13.4,79,1,17.6
"288",8,351,138,3955,13.2,79,1,16.5
"289",8,318,135,3830,15.2,79,1,18.2
"290",8,350,155,4360,14.9,79,1,16.9
"291",8,351,142,4054,14.3,79,1,15.5
"292",8,267,125,3605,15,79,1,19.2
"293",8,360,150,3940,13,79,1,18.5
"294",4,89,71,1925,14,79,2,31.9
"295",4,86,65,1975,15.2,79,3,34.1
"296",4,98,80,1915,14.4,79,1,35.7
"297",4,121,80,2670,15,79,1,27.4
"298",5,183,77,3530,20.1,79,2,25.4
"299",8,350,125,3900,17.4,79,1,23
"300",4,141,71,3190,24.8,79,2,27.2
"301",8,260,90,3420,22.2,79,1,23.9
"302",4,105,70,2200,13.2,79,1,34.2
"303",4,105,70,2150,14.9,79,1,34.5
"304",4,85,65,2020,19.2,79,3,31.8
"305",4,91,69,2130,14.7,79,2,37.3
"306",4,151,90,2670,16,79,1,28.4
"307",6,173,115,2595,11.3,79,1,28.8
"308",6,173,115,2700,12.9,79,1,26.8
"309",4,151,90,2556,13.2,79,1,33.5
"310",4,98,76,2144,14.7,80,2,41.5
"311",4,89,60,1968,18.8,80,3,38.1
"312",4,98,70,2120,15.5,80,1,32.1
"313",4,86,65,2019,16.4,80,3,37.2
"314",4,151,90,2678,16.5,80,1,28
"315",4,140,88,2870,18.1,80,1,26.4
"316",4,151,90,3003,20.1,80,1,24.3
"317",6,225,90,3381,18.7,80,1,19.1
"318",4,97,78,2188,15.8,80,2,34.3
"319",4,134,90,2711,15.5,80,3,29.8
"320",4,120,75,2542,17.5,80,3,31.3
"321",4,119,92,2434,15,80,3,37
"322",4,108,75,2265,15.2,80,3,32.2
"323",4,86,65,2110,17.9,80,3,46.6
"324",4,156,105,2800,14.4,80,1,27.9
"325",4,85,65,2110,19.2,80,3,40.8
"326",4,90,48,2085,21.7,80,2,44.3
"327",4,90,48,2335,23.7,80,2,43.4
"328",5,121,67,2950,19.9,80,2,36.4
"329",4,146,67,3250,21.8,80,2,30
"330",4,91,67,1850,13.8,80,3,44.6
"332",4,97,67,2145,18,80,3,33.8
"333",4,89,62,1845,15.3,80,2,29.8
"334",6,168,132,2910,11.4,80,3,32.7
"335",3,70,100,2420,12.5,80,3,23.7
"336",4,122,88,2500,15.1,80,2,35
"338",4,107,72,2290,17,80,3,32.4
"339",4,135,84,2490,15.7,81,1,27.2
"340",4,151,84,2635,16.4,81,1,26.6
"341",4,156,92,2620,14.4,81,1,25.8
"342",6,173,110,2725,12.6,81,1,23.5
"343",4,135,84,2385,12.9,81,1,30
"344",4,79,58,1755,16.9,81,3,39.1
"345",4,86,64,1875,16.4,81,1,39
"346",4,81,60,1760,16.1,81,3,35.1
"347",4,97,67,2065,17.8,81,3,32.3
"348",4,85,65,1975,19.4,81,3,37
"349",4,89,62,2050,17.3,81,3,37.7
"350",4,91,68,1985,16,81,3,34.1
"351",4,105,63,2215,14.9,81,1,34.7
"352",4,98,65,2045,16.2,81,1,34.4
"353",4,98,65,2380,20.7,81,1,29.9
"354",4,105,74,2190,14.2,81,2,33
"356",4,107,75,2210,14.4,81,3,33.7
"357",4,108,75,2350,16.8,81,3,32.4
"358",4,119,100,2615,14.8,81,3,32.9
"359",4,120,74,2635,18.3,81,3,31.6
"360",4,141,80,3230,20.4,81,2,28.1
"361",6,145,76,3160,19.6,81,2,30.7
"362",6,168,116,2900,12.6,81,3,25.4
"363",6,146,120,2930,13.8,81,3,24.2
"364",6,231,110,3415,15.8,81,1,22.4
"365",8,350,105,3725,19,81,1,26.6
"366",6,200,88,3060,17.1,81,1,20.2
"367",6,225,85,3465,16.6,81,1,17.6
"368",4,112,88,2605,19.6,82,1,28
"369",4,112,88,2640,18.6,82,1,27
"370",4,112,88,2395,18,82,1,34
"371",4,112,85,2575,16.2,82,1,31
"372",4,135,84,2525,16,82,1,29
"373",4,151,90,2735,18,82,1,27
"374",4,140,92,2865,16.4,82,1,24
"376",4,105,74,1980,15.3,82,2,36
"377",4,91,68,2025,18.2,82,3,37
"378",4,91,68,1970,17.6,82,3,31
"379",4,105,63,2125,14.7,82,1,38
"380",4,98,70,2125,17.3,82,1,36
"381",4,120,88,2160,14.5,82,3,36
"382",4,107,75,2205,14.5,82,3,36
"383",4,108,70,2245,16.9,82,3,34
"384",4,91,67,1965,15,82,3,38
"385",4,91,67,1965,15.7,82,3,32
"386",4,91,67,1995,16.2,82,3,38
"387",6,181,110,2945,16.4,82,1,25
"388",6,262,85,3015,17,82,1,38
"389",4,156,92,2585,14.5,82,1,26
"390",6,232,112,2835,14.7,82,1,22
"391",4,144,96,2665,13.9,82,3,32
"392",4,135,84,2370,13,82,1,36
"393",4,151,90,2950,17.3,82,1,27
"394",4,140,86,2790,15.6,82,1,27
"395",4,97,52,2130,24.6,82,2,44
"396",4,135,84,2295,11.6,82,1,32
"397",4,120,79,2625,18.6,82,1,28
"398",4,119,82,2720,19.4,82,1,31
