"","x1","x2","x3","x4","x5","x6","x7","x8","y"
"91",5690,6,63,59,2014,31,119,300,13
"92",5550,21,63,41,5000,56,29,250,5
"93",5620,7,57,58,5000,27,87,120,10
"94",5630,6,61,51,524,57,126,140,10
"95",5580,7,78,46,5000,55,36,200,7
"96",5560,4,65,40,5000,59,18,140,5
"97",5440,5,44,35,5000,24,3,80,4
"98",5480,7,51,46,2490,29,86,300,7
"99",5620,5,73,39,5000,107,-4,100,3
"100",5450,11,35,32,5000,36,8,300,4
"101",5660,6,35,47,5000,28,41,200,7
"102",5680,6,61,50,1144,30,120,120,11
"103",5760,4,50,65,547,1,194,100,15
"104",5790,4,57,66,413,10,209,120,22
"105",5720,5,68,69,610,46,176,60,17
"106",5660,6,58,59,3638,81,107,120,7
"107",5710,5,65,64,3848,45,138,100,10
"108",5780,7,78,68,1479,40,200,100,19
"109",5750,7,73,49,1108,55,186,27,18
"110",5700,5,41,52,869,0,145,40,12
"111",5620,9,47,56,5000,43,35,140,6
"112",5650,6,46,55,5000,49,33,150,9
"113",5730,5,61,66,1148,31,160,100,19
"114",5810,4,55,74,856,4,241,100,21
"115",5790,4,60,76,807,16,228,120,29
"116",5740,8,78,70,2040,46,175,150,16
"117",5690,4,71,67,314,60,150,120,11
"118",5680,6,77,41,5000,75,49,120,2
"119",5650,8,66,61,1410,20,129,140,12
"120",5730,6,74,68,360,23,169,120,16
"121",5730,3,78,69,1568,32,198,70,22
"122",5760,7,78,74,1184,40,204,80,20
"123",5830,6,75,74,898,24,230,70,27
"124",5880,3,80,80,436,0,302,40,33
"125",5890,6,88,84,774,6,300,20,25
"126",5850,4,76,78,1181,50,266,17,31
"127",5820,6,63,80,1991,47,209,40,18
"128",5800,7,78,76,1597,56,200,50,24
"129",5740,3,74,74,1184,52,208,70,16
"130",5710,7,63,66,3005,58,151,80,12
"131",5720,8,62,66,2880,53,141,120,9
"132",5740,5,53,69,2125,64,150,100,16
"133",5690,9,62,62,3720,74,105,120,8
"134",5730,5,71,67,4337,66,152,200,9
"135",5780,3,68,80,2053,31,227,120,29
"136",5790,7,79,76,1958,70,214,40,20
"137",5750,3,76,65,3644,86,152,70,5
"138",5680,6,71,65,1368,75,147,100,5
"139",5720,3,66,63,3539,73,120,120,11
"140",5770,4,81,62,2785,49,174,100,12
"141",5800,4,72,68,984,26,207,120,19
"142",5780,8,92,68,1804,56,200,70,17
"143",5740,6,71,69,3234,77,171,80,19
"144",5730,6,64,66,3441,67,161,100,16
"145",5760,6,68,70,1578,61,160,100,14
"146",5770,7,59,70,1850,76,160,120,10
"147",5690,8,67,64,2962,80,152,120,9
"148",5650,6,66,61,2670,54,130,120,7
"149",5610,3,61,52,5000,76,56,150,5
"150",5570,9,81,48,5000,57,49,140,2
"151",5690,5,63,59,5000,46,107,140,12
"152",5760,3,58,67,987,28,177,140,22
"153",5810,5,68,66,1148,43,194,140,17
"154",5830,4,71,74,898,-24,255,60,26
"155",5880,6,67,83,777,-1,281,30,27
"156",5860,3,64,78,1279,75,220,17,14
"157",5830,6,64,75,1046,69,204,80,11
"158",5870,4,69,84,1167,50,235,60,23
"159",5860,3,77,81,987,45,243,100,26
"160",5800,3,61,79,1144,57,218,120,21
"161",5800,4,69,79,977,60,215,150,15
"162",5770,5,64,65,770,26,242,120,20
"163",5860,4,33,81,629,-11,302,140,15
"164",5870,7,38,84,337,-14,321,140,18
"165",5870,4,54,83,590,26,295,120,26
"166",5860,6,39,90,400,19,285,120,19
"167",5880,5,43,90,580,9,307,80,13
"168",5870,7,55,93,646,25,318,140,30
"169",5860,4,77,88,826,41,291,140,26
"170",5830,5,63,72,823,52,236,150,15
"171",5820,5,65,72,2116,47,213,120,16
"172",5820,8,64,70,2972,52,180,120,16
"173",5860,6,68,78,2752,41,211,140,19
"174",5870,3,76,87,1377,37,258,100,23
"175",5890,6,71,91,1486,33,266,50,28
"176",5900,6,86,87,990,22,295,40,34
"177",5890,5,65,91,508,29,296,100,33
"178",5910,4,73,88,1204,56,266,100,24
"179",5900,5,69,83,2414,63,247,60,17
"180",5860,3,64,78,2385,67,213,50,10
"181",5830,3,63,79,2326,64,218,70,14
"182",5850,9,72,77,3389,56,204,80,13
"183",5830,6,82,81,2818,58,221,80,17
"184",5810,8,69,76,2394,54,209,90,22
"185",5830,4,74,78,2746,61,208,120,19
"186",5830,5,69,75,2493,55,225,120,20
"187",5840,7,72,82,1528,42,233,100,25
"188",5870,6,73,84,111,40,256,60,28
"189",5870,4,90,86,1899,45,247,40,29
"190",5860,3,80,80,1289,32,240,40,23
"191",5900,3,73,80,984,35,260,70,26
"192",5890,4,71,84,836,28,275,80,14
"193",5880,4,78,84,826,27,263,80,13
"194",5890,6,80,81,1105,39,234,80,26
"195",5870,8,74,85,1023,46,251,80,22
"196",5820,6,63,73,2956,46,196,120,14
"197",5780,6,57,72,2988,56,187,150,13
"198",5770,3,55,68,4291,60,168,200,9
"199",5790,4,65,65,3330,59,148,150,12
"200",5840,7,65,79,1233,30,214,100,14
"201",5910,5,72,81,1069,28,235,80,24
"202",5890,5,79,80,984,57,230,70,19
"203",5870,6,62,76,1653,71,204,60,16
"204",5780,7,65,59,3930,68,151,150,7
"205",5730,5,77,55,5000,73,109,200,2
"206",5780,7,70,66,5000,45,107,200,4
"207",5750,7,58,64,4212,46,138,200,6
"208",5760,5,58,62,5000,52,99,250,12
"209",5730,7,72,67,5000,31,141,300,9
"210",5730,5,77,74,1545,43,187,70,15
"211",5790,4,57,74,994,44,209,300,17
"212",5750,3,67,70,1125,55,200,150,13
"213",5880,3,73,77,636,16,233,300,20
"214",5890,7,70,83,748,32,250,30,22
"215",5880,4,73,81,692,44,254,100,24
"216",5870,7,73,73,807,39,260,100,26
"217",5900,6,71,87,869,19,261,17,32
"218",5920,4,77,89,800,24,298,20,33
"219",5930,3,68,92,393,6,332,4,27
"220",5950,5,62,92,557,0,326,70,38
"221",5950,8,61,93,620,27,298,30,23
"222",5900,5,71,93,1404,33,293,70,19
"223",5890,8,77,86,898,21,270,60,19
"224",5860,7,71,76,377,-2,285,40,15
"225",5840,5,67,81,528,17,260,50,28
"226",5800,6,74,78,2818,26,226,70,10
"227",5760,7,65,73,3247,10,196,140,14
"228",5810,6,82,80,895,0,256,100,26
"229",5850,4,67,81,721,0,268,120,17
"230",5760,7,87,52,5000,39,110,150,3
"231",5860,4,71,63,1965,13,161,50,14
"232",5830,5,77,72,1853,10,216,70,29
"233",5840,5,78,75,2342,7,219,40,18
"234",5800,7,72,55,5000,56,109,70,3
"235",5790,3,71,61,4028,35,128,140,9
"236",5830,5,71,71,2716,26,176,140,19
"237",5810,5,76,71,3671,31,188,100,8
"238",5780,6,76,72,3795,31,194,70,23
"239",5800,6,73,75,3120,35,194,40,13
"240",5800,5,80,65,2667,17,175,100,7
"241",5780,9,73,61,5000,39,115,120,3
"242",5790,8,80,60,5000,36,94,120,5
"243",5770,5,75,64,308,25,204,140,11
"244",5750,4,68,61,2982,18,155,120,12
"245",5640,5,93,63,5000,30,115,70,5
"246",5640,7,57,62,5000,25,107,150,4
"247",5650,3,70,59,5000,38,87,200,5
"248",5710,6,65,56,5000,35,88,200,4
"249",5760,6,66,59,3070,13,156,200,10
"250",5840,4,73,72,830,0,223,70,17
"251",5880,3,77,71,711,-9,242,40,26
"252",5890,5,80,75,1049,-10,261,50,30
"253",5890,4,73,71,511,-39,288,17,18
"254",5890,5,19,71,5000,-40,198,80,12
"255",5890,6,19,73,5000,-34,208,250,7
"256",5850,3,73,78,377,-3,260,200,15
"257",5830,5,76,73,862,27,231,2,12
"258",5830,8,77,71,337,-17,273,20,7
"259",5860,5,86,73,492,-2,279,7,28
"260",5830,5,76,71,1394,13,239,30,22
"261",5800,7,66,66,3146,27,178,50,18
"262",5830,4,74,69,2234,11,193,70,14
"263",5790,5,71,69,2109,21,209,17,24
"264",5730,4,84,64,5000,23,125,80,10
"265",5780,5,74,65,2270,-7,205,50,14
"266",5740,7,48,54,2191,-13,204,60,9
"267",5710,8,75,62,3448,12,148,60,12
"268",5690,6,74,56,5000,13,94,80,7
"269",5670,4,67,55,5000,11,97,50,7
"270",5760,4,75,58,2719,25,138,50,6
"271",5820,5,71,48,1899,21,167,40,13
"272",5790,3,35,54,5000,-41,114,40,5
"273",5760,5,23,57,5000,-21,105,300,3
"274",5800,6,19,60,5000,-19,124,200,7
"275",5810,7,59,61,2385,10,158,150,8
"276",5750,4,60,63,1938,0,170,100,10
"277",5840,0,38,65,590,-11,211,100,12
"278",5920,3,22,71,328,-40,270,150,6
"279",5860,7,19,70,5000,-29,165,300,5
"280",5840,0,45,68,597,-22,231,30,20
"281",5810,2,47,69,469,-4,221,50,14
"282",5770,2,73,59,1541,18,173,20,16
"283",5710,4,67,49,5000,24,55,200,5
"284",5500,9,56,39,5000,15,54,120,3
"285",5660,3,54,50,5000,27,70,300,5
"286",5700,3,71,46,5000,54,60,200,1
"287",5810,5,59,54,5000,-28,120,70,5
"288",5860,0,25,60,5000,-38,175,140,4
"289",5900,0,24,62,5000,-36,156,150,11
"290",5850,5,41,65,2014,-20,211,200,6
"291",5780,3,50,66,436,1,213,4,8
"292",5790,0,76,66,830,3,189,40,14
"293",5780,2,82,63,1112,-8,191,30,18
"294",5770,2,81,62,1210,-17,199,30,12
"295",5750,2,85,60,501,-22,216,2,9
"296",5780,5,76,63,875,-15,205,0,7
"297",5790,5,66,60,1601,7,167,30,14
"298",5750,6,58,58,5000,59,55,60,4
"299",5670,8,19,34,5000,-63,28,150,3
"300",5760,0,19,36,5000,-52,50,100,3
"301",5770,4,19,44,2280,-54,132,250,3
"302",5810,2,19,53,2047,-43,175,150,3
"303",5810,2,19,52,5000,-69,136,200,3
"304",5870,3,19,53,3720,-50,163,200,3
"305",5830,2,27,58,311,-24,211,200,3
"306",5760,0,64,55,2536,28,136,80,6
"307",5680,0,52,50,1154,-22,164,60,6
"308",5780,4,19,48,2933,-40,155,300,5
"309",5810,3,19,51,3064,-33,171,200,3
"310",5760,0,32,62,826,-16,182,300,4
"311",5680,0,58,40,5000,2,61,50,7
"312",5750,0,26,44,111,-52,201,40,5
"313",5790,5,19,49,5000,-48,126,70,5
"314",5770,3,19,53,5000,-37,131,150,4
"315",5750,0,19,53,5000,-26,106,150,3
"316",5720,0,19,53,5000,-31,108,70,2
"317",5760,3,19,55,948,-48,215,200,5
"318",5780,0,19,51,5000,-50,105,120,3
"319",5660,4,19,54,5000,-22,92,150,4
"320",5610,2,58,48,3687,-10,83,150,4
"321",5640,0,51,53,5000,0,68,60,6
"322",5680,3,52,49,5000,-19,76,70,6
"323",5650,5,19,48,5000,-28,74,150,3
"324",5710,4,19,51,5000,-25,91,300,4
"325",5680,4,57,47,508,-10,148,100,3
"326",5630,4,50,50,2851,-5,100,70,8
"327",5730,3,53,51,111,-14,225,200,2
"328",5690,3,23,51,5000,-36,107,70,3
"329",5650,3,61,50,3704,18,83,40,5
"330",5550,4,85,39,5000,8,44,100,1
