"","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","y"
"35",17.10052,0,2080,0,0,0,32421.2,0,492,0,0,0,1,19,18,13,12,0,159,25000
"36",11.81918,0,2080,0,0,0,22408.2,0,492,0,0,0,0,32,26,13,12,0,163,18000
"37",9.65158,0,2080,0,0,0,18298.6,0,492,0,80,2,0,18,13,8,9,0,164,15960
"38",12.44124,0,1976,0,0,0,22408.2,0,492,0,0,0,0,10,10,13,12,0,166,19200
"39",0,12.44124,0,1976,18013.7,0,18013.7,22408.2,648,492,0,0,0,46,41,13,11,0,168,32948
"40",11.85613,12.86878,1820,1560,0,0,19668.5,18298.6,492,492,0,0,2,16,20,18,12,0,173,32600
"41",11.81918,0,2080,0,0,0,22408.2,0,492,0,0,0,0,14,12,12,12,0,174,18000
"42",10.37412,7.87788,2080,1976,0,0,19668.5,14189,492,492,0,0,0,33,26,12,12,0,175,28000
"43",9.72889,6.61695,2496,2080,0,0,22134.2,12545.2,492,492,0,0,1,35,31,8,8,0,177,28600
"44",10.37412,0,2080,0,0,0,19668.5,0,492,0,0,1,0,4,3,14,13,1,180,16000
"45",13.94917,0,1924,0,0,0,24463,0,492,0,20,0,2,35,27,5,7,1,182,19740
"46",7.48399,0,2080,0,0,0,14189,0,492,0,0,0,0,36,31,5,7,1,191,12000
"47",10.22417,0,2184,0,0,0,20353.4,0,492,0,50,0,1,34,31,9,9,1,195,17100
"48",13.13242,0,1872,0,0,0,22408.2,0,492,0,80,0,1,27,23,14,13,1,224,19030
"49",6.29043,6.03892,1733,2080,0,0,9938.5,11449.3,648,492,0,0,0,42,40,5,5,1,227,19000
"50",6.03892,0,2080,0,0,0,11449.3,0,492,0,0,0,0,45,41,8,8,1,230,36248
"51",8.20652,8.92905,2080,2080,0,0,15558.9,16928.8,492,492,0,1,0,27,14,6,10,1,234,27500
"52",6.03892,0,2080,0,0,5909.09,11449.3,5909.1,492,648,0,0,0,41,38,5,5,1,236,22996
"53",19.02282,14.79553,1213,1560,0,0,21038.4,21038.4,492,492,0,1,0,14,15,13,12,1,237,34000
"54",8.87191,9.13162,1924,1040,1772.73,0,17331.6,8656.4,492,648,0,0,0,18,16,8,8,1,241,22294.09
"55",12.54171,0,2080,0,0,0,23778.1,0,492,0,0,1,0,13,9,8,9,1,246,19000
"56",13.26424,8.20652,2080,2080,0,0,25147.9,15558.9,492,492,0,0,0,30,22,5,8,1,250,39251
"57",8.66381,0,1365,0,0,0,10779.5,0,492,0,60,0,0,32,26,5,7,0,254,10220
"58",21.09634,14.94334,2080,1092,0,0,39997,14874,492,492,0,0,0,11,6,18,16,0,271,42500
"59",9.92117,0,1872,0,0,0,16928.8,0,492,0,0,0,0,44,43,5,6,0,274,14000
"60",11.26909,11.26909,1248,1248,0,0,12819.2,12819.2,492,492,0,1,0,21,17,13,13,0,280,22000
"61",7.12761,0,2184,0,0,0,14189,0,492,0,110,0,2,32,27,5,7,0,284,13320
"62",9.50348,0,1638,0,0,0,14189,0,492,0,50,0,1,32,27,2,5,0,285,12600
"63",11.36623,0,1872,0,0,0,19394.5,0,492,0,0,0,1,28,23,8,9,0,294,15800
"64",7.12761,0,2184,0,0,0,14189,0,492,0,250,3,1,26,23,8,9,0,296,15000
"65",36.15963,0,364,0,0,0,11997.3,0,492,0,140,1,1,22,11,8,9,0,298,12080
"66",7.12761,0,2184,0,0,0,14189,0,492,0,110,0,2,28,24,5,7,0,299,13320
"67",6.59792,0,2496,0,0,0,15011,0,492,0,0,0,0,15,8,8,9,0,304,12600
"68",0,9.51976,0,1872,12938.36,0,12038.4,16243.8,648,492,0,0,0,43,32,5,5,0,314,28486
"69",16.30135,14.14853,2080,1950,0,0,28906.1,25147.9,492,492,0,0,0,11,5,20,20,0,319,44680
"70",19.84234,19.84234,936,936,0,0,16928.8,16928.8,492,492,0,0,0,25,22,17,18,0,328,28000
"71",10.74471,0,2288,0,0,0,22408.2,0,492,0,20,0,2,30,22,8,9,0,345,20240
"72",13.13242,0,1872,0,0,0,22408.2,0,492,0,20,0,0,44,39,10,10,0,364,18240
"73",13.55326,0,2080,0,0,0,25695.9,0,492,0,120,0,3,28,22,7,8,0,369,21840
"74",9.92117,9.92117,1872,1872,0,0,16928.8,16928.8,492,492,0,0,0,33,36,13,8,0,372,28000
"75",8.40672,0,1213,0,0,0,9297.4,0,648,0,160,0,1,33,23,5,7,0,374,14270
"76",17.89968,0,2080,0,0,0,32436.4,0,492,0,0,0,2,20,21,18,16,0,376,26510
"77",11.68068,23.05359,1976,936,1575,0,22613.4,19668.5,492,492,0,0,0,30,23,16,18,0,377,34674.75
"78",9.41618,0,2132,0,0,0,18298.6,0,492,0,80,0,2,37,37,8,8,0,379,15960
"79",8.20652,0,2080,0,0,0,15558.9,0,492,0,110,0,1,35,43,3,5,0,380,14320
"80",16.87707,10.92012,2600,1976,0,0,39997,19668.5,492,492,0,0,2,21,18,14,14,0,393,46000
"81",9.11835,9.11835,1872,1872,0,0,15558.9,15558.9,492,492,0,0,0,25,21,13,13,0,434,32498
"82",19.84234,0,936,0,0,0,16928.8,0,492,0,20,0,0,21,21,13,12,0,439,14240
"83",23.24206,19.64998,2600,1040,0,0,54177.4,18627.4,492,492,0,0,0,30,30,13,12,0,448,55210.64
"84",12.24933,0,1872,0,0,0,20901.4,0,492,0,0,0,1,22,19,13,12,0,450,16900
"85",8.92905,7.48399,2080,2080,0,0,16928.8,14189,492,492,0,0,0,41,23,5,8,1,457,26000
"86",13.96236,0,1976,0,0,10397.44,25147.9,10397.4,492,648,0,0,1,35,27,8,10,1,458,29358
"87",12.43269,0,2340,0,0,0,26517.8,0,492,0,50,0,1,21,22,16,14,1,459,21600
"88",8.20652,6.03892,2080,2080,0,0,15558.9,11449.3,492,492,0,0,0,41,39,5,5,1,463,31000
"89",5.98719,7.48399,2600,2080,0,0,14189,14189,492,492,0,0,2,18,12,13,13,1,465,24000
"90",8.6451,0,2496,0,0,0,19668.5,0,492,0,0,0,0,29,25,5,7,0,478,16000
"91",8.92905,5.97263,2080,867,120,0,17048.8,4718.2,492,648,0,0,0,19,15,13,13,0,480,18927.6
"92",7.44088,0,2496,0,0,0,16928.8,0,492,0,0,0,0,16,14,8,9,0,483,14000
"93",8.20652,0,2080,0,0,0,15558.9,0,492,0,50,0,0,45,45,5,6,0,490,13600
"94",8.31554,0,1872,0,0,0,14189,0,492,0,0,0,0,37,35,5,6,0,492,16000
"95",8.87732,0,2600,0,0,0,21038.4,0,492,0,320,3,2,24,27,0,3,0,495,20840
"96",13.26424,0,2080,0,0,0,25147.9,0,492,0,0,1,1,19,12,17,15,0,502,20000
"97",0,8.92905,0,2080,0,0,0,16928.8,0,492,80,0,2,20,27,11,5,0,503,25560
"98",15.50219,0,2080,0,0,0,29390.9,0,492,0,0,1,1,21,15,8,9,0,505,23500
"99",14.34541,12.44124,2028,1976,4125,0,30642.8,22408.2,492,492,0,0,2,16,14,18,17,0,509,44901.25
"100",9.64018,0,1872,0,0,0,16449.3,0,492,0,140,1,2,27,18,6,8,0,512,25330
"101",10.01285,0,2080,0,0,0,18983.6,0,492,0,0,0,0,40,33,5,6,0,516,32500
"102",13.13242,0,1872,0,0,0,22408.2,0,492,0,20,0,0,34,28,8,9,0,517,20740
"103",13.53383,11.12539,1872,1872,0,0,23093.2,18983.6,492,492,0,0,0,26,24,18,15,0,518,34000
"104",11.5268,0,1872,0,0,0,19668.5,0,492,0,50,0,1,24,19,9,10,0,519,19600
"105",14.73805,0,1872,0,0,0,25147.9,0,492,0,0,0,0,31,25,8,9,0,521,20550
"106",16.34368,6.70991,1872,1872,0,0,27887.7,11449.3,492,492,0,0,2,27,21,15,12,0,523,37000
"107",0,8.20652,0,2080,9230.77,0,9230.8,15558.9,648,492,0,0,1,32,25,5,8,1,538,21448
"108",8.50386,0,2184,0,0,0,16928.8,0,492,0,0,0,0,40,36,5,6,1,541,14000
"109",9.92537,0,2704,0,0,0,24463,0,492,0,20,0,2,36,27,5,7,1,544,19740
"110",9.19198,7.48399,2184,2080,0,0,18298.6,14189,492,492,0,0,0,39,36,5,5,1,548,27000
"111",8.92905,0,2080,0,0,0,16928.8,0,492,0,80,2,0,25,12,5,7,1,552,14960
"112",9.65158,5.47897,2080,1733,0,0,18298.6,8656.4,492,648,0,0,2,32,25,5,5,1,558,23000
"113",9.45534,12.07785,2600,1040,0,0,22408.2,11449.3,492,492,0,1,1,14,13,18,13,1,568,34758
"114",13.26424,0,2080,0,0,0,25147.9,0,492,0,0,1,0,10,7,13,13,1,571,20600
"115",7.48399,2.88462,2080,624,0,0,14189,1640.7,492,356,50,0,0,41,35,5,5,1,575,14400
"116",12.90298,0,2080,0,0,0,24463,0,492,0,0,1,0,20,12,6,8,0,578,19500
"117",14.70931,9.7983,2080,1976,0,0,27887.7,17647.9,492,492,0,1,1,22,22,11,8,0,583,36525
"118",19.17806,15.48348,1768,1976,360,0,31266.1,27887.7,492,492,0,0,0,37,34,17,18,0,588,46357.6
"119",15.54086,0,1872,0,0,0,26517.8,0,492,0,0,1,1,23,14,8,9,0,593,42848
"120",10.37412,14.88175,2080,1248,0,0,19668.5,16928.8,492,492,0,0,0,13,15,16,12,1,603,30000
"121",6.76146,10.59193,2080,542,0,0,12819.2,5229.5,492,648,0,1,0,12,14,13,13,1,608,16250
"122",15.50219,6.07287,2080,494,0,0,29390.9,2734.5,492,594,0,2,0,11,13,13,11,1,611,30500
"123",10.37412,0,2080,0,0,0,19668.5,0,492,0,0,0,0,39,34,5,6,1,619,21688
"124",16.78536,11.7236,1196,1456,0,0,18298.6,15558.9,492,492,0,0,1,24,18,17,15,1,624,28000
"125",8.8568,0,2080,0,0,0,16791.8,0,492,0,380,2,3,26,20,8,9,1,628,21960
"126",16.34368,6.58792,1872,1907,0,0,27887.7,11449.3,492,492,0,0,0,26,23,11,8,1,631,33200
"127",9.65158,0,2080,0,0,0,18298.6,0,492,0,80,1,1,20,18,11,11,1,632,15960
"128",8.11732,0,2288,0,0,0,16928.8,0,492,0,20,0,1,28,26,13,12,1,635,14240
"129",11.81918,9.92117,2080,1872,0,0,22408.2,16928.8,492,492,0,1,1,15,7,14,16,1,640,32000
"130",15.54086,0,1872,0,0,0,26517.8,0,492,0,0,0,0,33,28,8,9,1,647,23200
"131",8.0747,0,1872,0,0,0,13778.1,0,492,0,0,0,0,33,34,8,8,1,650,11700
"132",16.30135,10.72398,2080,1872,0,0,29656.1,18298.6,492,492,0,0,0,33,26,10,13,1,661,45425
"133",12.69302,0,1404,0,21575.34,0,37819.2,0,492,0,0,0,0,38,37,8,8,1,662,57562.66
"134",10.72398,0,1872,0,0,0,18298.6,0,492,0,0,0,0,16,17,17,15,1,666,15000
"135",11.81918,0,2080,0,0,0,22408.2,0,492,0,0,1,0,7,11,19,16,1,667,18000
"136",14.11724,6.32794,2496,2080,0,0,32118.2,11997.3,492,492,0,0,1,17,20,13,8,1,670,35200
"137",13.13242,0,1872,0,0,0,22408.2,0,492,0,80,0,1,31,32,8,9,1,680,18960
"138",8.92905,0,2080,0,0,0,16928.8,0,492,0,80,0,1,34,26,8,9,1,684,14960
"139",8.20652,0,2080,0,0,0,15558.9,0,492,0,50,0,1,38,37,8,8,1,694,20228
"140",14.25043,2.85634,2496,2340,825,0,33246.2,6092.3,492,648,0,0,0,26,31,13,5,1,700,31819.5
"141",11.81918,11.45791,2080,2080,0,0,22408.2,21723.3,492,492,0,0,1,19,20,13,12,1,701,35500
"142",9.65158,0,2080,0,0,0,18298.6,0,492,0,140,1,2,28,23,8,9,0,702,21680
"143",11.09665,0,2080,0,0,0,21038.4,0,492,0,110,3,0,20,13,8,9,0,703,18320
"144",14.73805,0,1872,0,0,0,25147.9,0,492,0,50,1,2,26,20,8,9,0,704,20600
"145",10.72398,0,1872,0,0,5909.09,18298.6,5909.1,492,648,0,0,0,49,51,8,5,0,707,28198
"146",13.13242,9.51976,1872,1872,0,0,22408.2,16243.8,492,492,0,0,1,36,39,8,8,0,711,34000
"147",11.5268,0,1872,0,0,0,19668.5,0,492,0,110,0,1,37,33,5,6,0,712,17320
"148",17.22465,12.32961,1872,1872,0,0,29390.9,21038.4,492,492,0,0,1,31,15,8,18,0,719,40000
"149",11.81918,0,2080,0,0,0,22408.2,0,492,0,0,0,1,26,20,8,9,0,720,28000
"150",14.73805,10.37412,1872,2080,0,0,25147.9,19668.5,492,492,0,0,1,29,26,13,8,0,721,36000
"151",7.77919,0,1040,0,0,0,7374.4,0,648,0,160,1,1,22,16,5,7,0,727,8920
"152",0,14.24512,0,1404,0,0,0,18230.1,0,492,80,2,0,10,5,13,13,0,730,15910
"153",8.81952,2.30769,2600,867,0,0,20901.4,1823,492,396,170,1,2,40,39,5,0,0,731,20940
"154",10.37412,0,2080,0,0,0,19668.5,0,492,0,0,0,0,9,4,15,14,0,732,16000
"155",6.03892,2.30769,2080,693,0,0,11449.3,1458.4,492,317,20,0,0,49,50,0,0,0,733,11840
"156",8.56779,1.73077,2080,693,0,0,16243.8,1093.8,492,237,140,1,1,32,36,5,0,0,734,16380
"157",7.48399,1.73077,2080,693,0,0,14189,1093.8,492,237,80,0,0,46,49,0,0,0,736,22413.41
"158",7.84525,2.88462,2080,693,0,0,14874,1823,492,396,80,0,0,45,42,5,5,0,737,17960
"159",7.48399,0,2080,0,0,0,14189,0,492,0,170,0,2,39,29,5,7,0,740,14040
"160",16.30135,0,2080,0,0,0,30906.1,0,492,0,230,1,1,36,36,14,12,0,742,30305.45
"161",0,14.94089,0,1404,0,0,0,19120.5,0,492,140,1,2,20,18,14,15,0,743,17280
"162",12.32961,16.43948,1872,1404,0,0,21038.4,21038.4,492,492,0,1,0,13,12,17,17,0,748,34000
"163",8.57919,9.64018,2340,1872,0,0,18298.6,16449.3,492,492,0,0,2,26,19,8,10,0,751,28650
"164",10.37412,0,2080,0,0,0,19668.5,0,492,0,50,0,2,24,20,8,9,0,754,16600
"165",5.03244,0,2496,0,0,0,11449.3,0,492,0,0,0,1,43,42,5,6,0,759,41350
"166",9.24721,0,2496,0,1800,0,22838.4,0,492,0,80,0,2,31,27,13,12,0,760,20385.36
"167",8.04299,0,2496,0,0,0,18298.6,0,492,0,0,0,0,45,34,5,6,0,763,34993.91
"168",10.37412,0,2080,0,0,0,19668.5,0,492,0,110,1,2,25,19,8,9,0,765,18820
"169",5.40916,4.36835,2600,2496,0,0,12819.2,9938.5,492,648,0,0,1,37,29,5,8,0,775,20500
"170",5.7966,0,936,0,0,0,4945.5,0,648,0,160,0,1,37,34,5,6,0,776,6920
"171",8.04299,0,2496,0,0,0,18298.6,0,492,0,80,0,0,41,38,5,6,0,777,15960
"172",7.44088,0,2496,0,0,0,16928.8,0,492,0,20,0,0,26,25,13,12,0,785,20440
"173",8.04299,0,2496,0,0,0,18298.6,0,492,0,80,0,1,33,30,8,9,0,788,15960
"174",13.13242,16.59065,1872,312,0,0,22408.2,4718.2,492,648,0,1,0,20,12,13,17,0,790,22800
"175",8.20652,7.91413,2080,1872,0,0,15558.9,13504.1,492,492,0,0,0,35,19,5,13,1,803,24500
"176",9.86369,8.31554,2340,1872,0,0,21038.4,14189,492,492,0,1,1,17,13,8,11,1,805,29000
"177",0,4.80769,0,520,10897.44,0,10897.4,2278.7,648,495,0,0,0,54,57,2,0,1,806,17248
"178",14.72292,14.72292,1976,1976,0,0,26517.8,26517.8,492,492,0,0,2,28,26,13,8,1,810,42000
"179",20.71306,21.1477,2600,1603,0,0,42087.9,30906.1,492,492,0,1,0,9,12,18,13,1,811,62380
"180",7.87945,0,3120,0,0,0,22408.2,0,492,0,0,0,0,27,19,12,12,1,812,33500
"181",8.20652,7.84525,2080,2080,0,0,15558.9,14874,492,492,0,0,1,29,21,9,8,1,820,25500
"182",7.91751,0,2080,0,0,0,15011,0,492,0,0,0,0,11,8,13,13,1,823,12600
"183",9.13859,0,2080,0,0,0,17326,0,492,0,20,0,1,21,20,8,9,1,826,18030
"184",9.65158,4.83114,2080,2600,0,0,18298.6,11449.3,492,492,0,0,0,44,39,5,5,1,847,39000
"185",8.87732,11.09665,2600,2080,0,0,21038.4,21038.4,492,492,0,1,0,33,24,14,13,1,848,39913
"186",5.81835,6.04037,2288,2080,0,0,12134.2,11452.1,492,492,0,0,0,13,13,8,8,1,852,20502
"187",21.8955,11.81918,2080,2080,0,0,38012.1,22408.2,492,492,0,0,1,16,22,13,8,1,853,50190
"188",15.48348,10.50594,1976,2340,0,0,27887.7,22408.2,492,492,0,0,0,30,26,13,15,1,854,40000
"189",17.89968,11.9054,2080,1560,0,0,33936.4,16928.8,492,492,0,0,1,24,20,20,18,1,855,40000
"190",10.0684,9.23514,3120,520,0,0,28633.3,4377.3,492,648,0,2,1,16,16,8,8,1,858,27500
"191",12.43269,0,2340,0,0,0,26517.8,0,492,0,0,0,1,33,37,11,10,0,877,21000
"192",8.57919,5.07355,2340,1456,4431.82,0,22730.4,6733.3,492,648,0,1,2,26,20,5,4,1,878,24735.23
"193",8.04299,0,2496,0,0,0,18298.6,0,492,0,20,1,0,5,3,13,13,1,879,15240
"194",11.79044,13.13242,2340,1872,0,0,25147.9,22408.2,492,492,0,0,0,33,28,13,13,1,880,38000
"195",13.77972,0,2340,0,0,0,29390.9,0,492,0,0,0,0,24,25,12,11,1,883,23000
"196",11.09665,10.37412,2080,2080,0,0,21038.4,19668.5,492,492,0,0,0,33,34,9,8,1,893,33000
"197",10.72398,11.5268,1872,1872,0,0,15498.6,19668.5,492,492,0,1,1,12,15,20,18,1,894,31756
"198",15.48348,17.06717,1976,780,0,0,27887.7,12134.2,492,492,0,1,0,30,26,15,12,1,899,32500
"199",8.20652,0,2080,0,0,3954.55,15558.9,3954.5,492,475,0,0,0,45,43,5,5,0,901,16954.55
"200",6.03892,0,2080,0,0,0,11449.3,0,492,0,70,0,0,39,40,5,6,0,903,10840
"201",11.81918,9.47489,2080,520,0,0,22408.2,4490.9,492,648,0,1,1,13,8,13,14,0,905,22600
"202",11.45791,7.11732,2080,1976,0,0,21723.3,12819.2,492,492,0,0,1,38,36,8,5,1,906,41500
"203",10.6114,9.65158,2600,2080,0,0,25147.9,18298.6,492,492,0,0,2,15,14,14,14,0,911,35000
"204",12.32961,0,1872,0,0,0,21038.4,0,492,0,50,1,1,16,11,13,12,0,914,17600
"205",6.70991,0,1872,0,0,0,11449.3,0,492,0,140,1,1,19,14,13,12,0,917,31680
"206",14.73805,7.12761,1872,2184,0,0,25147.9,14189,492,492,0,0,1,36,29,8,5,0,919,32000
"207",11.38118,0,2028,0,0,0,21038.4,0,492,0,50,0,1,34,31,5,7,0,921,17600
"208",9.11835,0,1872,0,0,0,15558.9,0,492,0,50,1,0,12,8,13,13,0,925,13600
"209",18.38664,10.94203,1664,1560,0,0,27887.7,15558.9,492,492,0,2,0,15,3,19,23,0,927,35000
"210",5.82447,0,1872,0,5909.09,5909.09,15847.6,5909.1,648,648,0,0,0,57,58,2,3,0,934,19214.71
"211",10.99459,6.03892,2236,2080,0,0,22408.2,11449.3,492,492,0,0,1,19,15,8,8,0,936,28000
"212",10.24229,23.05359,1872,936,0,0,17476.7,19668.5,492,492,0,0,0,39,32,13,17,0,937,30400
"213",10.37412,16.30135,2080,2080,187.5,0,19856,30906.1,492,492,0,1,1,16,19,13,13,0,939,40199.38
"214",8.31554,10.72398,1872,1872,0,0,14189,18298.6,492,492,0,0,2,33,30,8,8,0,940,27000
"215",8.56779,8.56779,2080,2080,0,0,16243.8,16243.8,492,492,0,1,1,20,15,8,14,1,1000,27000
"216",9.65158,0,2080,0,0,0,18298.6,0,492,0,0,0,0,47,29,5,7,0,1007,20170.45
"217",6.56522,0,2600,0,0,0,15558.9,0,492,0,170,1,1,30,26,8,9,0,1008,15040
"218",9.11835,0,1872,0,0,0,15558.9,0,492,0,0,0,0,21,15,8,9,0,1016,13000
"219",9.84089,0,1872,0,0,0,16791.8,0,492,0,80,0,0,37,40,6,7,0,1018,14860
"220",8.63667,0,1872,0,0,0,14737,0,492,0,110,0,2,28,26,10,10,0,1023,13720
"221",7.99442,0,1872,0,0,0,13641.1,0,492,0,200,2,1,23,16,8,9,0,1024,14000
"222",13.26424,0,2080,0,0,0,25147.9,0,492,0,50,1,1,25,23,9,9,0,1027,20600
"223",0,12.32961,0,1872,28719.52,0,28719.5,21038.4,648,492,0,0,0,45,37,11,12,0,1038,42687.88
"224",8.56779,5.19231,2080,347,0,0,16243.8,1640.7,492,356,0,0,0,12,7,10,10,1,1048,25640.91
"225",14.06423,21.0133,3120,1456,0,0,39997,27887.7,492,492,0,1,0,6,7,17,18,0,1051,54500
"226",12.4659,0,3120,0,0,0,28951.5,0,492,0,0,2,0,11,5,15,14,0,1052,29210
"227",8.63844,8.63844,1976,1976,0,0,15558.9,15558.9,492,492,0,1,1,23,22,8,8,1,1059,26000
"228",10.37412,0,2080,0,0,0,19668.5,0,492,0,0,0,0,13,12,8,9,1,1062,16000
"229",13.94917,10.15956,1924,1976,0,0,24463,18298.6,492,492,0,0,1,21,22,12,11,1,1070,34500
"230",27.73167,0,2340,0,0,0,59149.2,0,492,0,0,1,0,11,17,20,17,1,1079,42000
"231",8.92905,0,2080,0,0,0,16928.8,0,492,0,80,0,2,28,27,5,7,0,1098,14960
"232",10.37412,0,2080,0,0,0,19668.5,0,492,0,110,0,2,34,29,5,7,0,1099,17320
"233",20.40653,0,1352,0,0,0,25147.9,0,492,0,0,0,1,36,25,8,9,1,1135,28500
"234",8.97822,0,2236,0,0,0,18298.6,0,492,0,0,0,0,49,42,5,6,1,1139,30600
"235",11.55923,0,2340,0,0,0,24654.8,0,492,0,0,1,0,21,13,8,9,1,1140,19640
"236",22.1933,13.67753,1040,1248,0,0,21038.4,15558.9,492,492,0,1,2,20,24,18,12,0,1150,30000
"237",6.15676,0,780,0,0,0,4377.3,0,648,0,160,0,2,26,20,8,9,0,1155,6620
"238",16.30135,0,2080,0,0,0,30906.1,0,492,0,0,0,2,27,23,13,12,1,1172,24000
"239",11.09665,0,2080,0,0,0,21038.4,0,492,0,110,1,2,21,13,13,12,0,1173,18320
"240",11.9282,0,1872,0,2659.09,0,23012.5,0,492,0,80,0,0,41,30,8,9,0,1174,19401.14
"241",12.53031,0,1872,0,0,0,21380.8,0,492,0,50,1,1,13,15,17,15,0,1175,17850
"242",0,7.26723,0,2080,10897.44,0,10897.4,13778.1,648,492,0,0,0,50,48,5,3,0,1189,39396
"243",9.92117,9.92117,1872,1872,0,0,16928.8,16928.8,492,492,0,0,0,29,29,18,13,0,1192,28000
"244",0,13.26424,0,2080,20684.93,0,20684.9,25147.9,648,492,0,0,0,40,34,11,12,0,1197,61898
"245",10.37412,0,2080,0,0,0,19668.5,0,492,0,50,2,0,15,14,13,12,0,1198,16600
"246",13.26424,0,2080,0,0,0,25147.9,0,492,0,0,0,0,33,28,8,9,0,1199,20000
"247",11.81918,0,2080,0,0,0,22408.2,0,492,0,0,0,0,42,36,5,6,0,1200,38448
"248",10.74471,0,2288,0,0,0,22408.2,0,492,0,0,0,0,41,35,13,12,1,1203,35748
"249",8.81952,0,2600,0,0,0,20501.4,0,492,0,50,1,1,19,17,8,9,1,1209,17608
"250",9.187,0,2496,0,0,0,20901.4,0,492,0,0,1,0,15,7,8,9,1,1212,16900
"251",13.26424,13.93524,2080,1872,0,0,25147.9,23778.1,492,492,0,1,1,19,14,13,13,1,1214,39000
"252",8.20652,0,2080,0,0,0,15558.9,0,492,0,50,0,1,28,25,6,7,1,1216,13600
"253",13.96236,8.31554,1976,1872,0,0,25147.9,14189,492,492,0,0,0,2,3,16,16,1,1225,33000
"254",11.46931,0,2340,0,0,0,24463,0,492,0,0,1,0,10,6,13,13,1,1228,19500
"255",19.49801,0,2080,0,0,0,36966.7,0,492,0,0,0,0,39,29,8,9,0,1231,28000
"256",13.98678,0,2080,0,0,0,26517.8,0,492,0,0,1,1,18,15,12,12,0,1232,21000
"257",12.97668,0,2184,0,0,0,25832.9,0,492,0,0,0,0,36,31,8,9,0,1234,20500
